,Unnamed: 0.1,Unnamed: 0,Name,Bbox,Class,fname,split,x1,x2,y1,y2,cluster_dbscan,cluster_threshold,split_dbscan,split_threshold,cross_val
12,12,12,1005557.jpg,"0.14192708333333334,0.4329861111111111,0.2838541666666667,0.5590277777777778",0,train_data_minprirodi/images/1005557.jpg,train,0,545,221,1026,5,5,train,train,2
13,13,13,1005966.jpg,"0.3614583333333333,0.5711805555555556,0.26875,0.4979166666666667",1,train_data_minprirodi/images/1005966.jpg,train,436,952,464,1181,20,20,val,train,0
14,14,14,1006490.jpg,"0.309375,0.4222222222222222,0.61875,0.6305555555555555",1,train_data_minprirodi/images/1006490.jpg,train,0,1188,154,1062,5,5,train,train,2
15,15,15,1006544.jpg,"0.45625,0.600925925925926,0.38125,0.5592592592592592",1,train_data_minprirodi/images/1006544.jpg,train,510,1242,347,951,-1,32,train,val,4
16,16,16,1006544.jpg,"0.03125,0.3425925925925926,0.0625,0.20925925925925926",0,train_data_minprirodi/images/1006544.jpg,train,0,120,257,483,-1,32,train,val,4
17,17,17,1006639.jpg,"0.29010416666666666,0.690625,0.27395833333333336,0.25763888888888886",1,train_data_minprirodi/images/1006639.jpg,train,293,820,809,1180,60,87,val,val,2
18,18,18,1006641.jpg,"0.41432291666666665,0.36666666666666664,0.26510416666666664,0.3972222222222222",1,train_data_minprirodi/images/1006641.jpg,train,541,1050,241,814,59,84,val,val,3
19,19,19,1007589.jpg,"0.334375,0.4128472222222222,0.66875,0.6506944444444445",1,train_data_minprirodi/images/1007589.jpg,train,0,1284,125,1063,5,5,train,train,2
20,20,20,1008093.jpg,"0.121875,0.4996527777777778,0.24375,0.3993055555555556",1,train_data_minprirodi/images/1008093.jpg,val,0,468,432,1007,-1,98,train,val,4
21,21,21,1008759.jpg,"0.7520833333333333,0.49583333333333335,0.2,0.4638888888888889",0,train_data_minprirodi/images/1008759.jpg,train,1252,1636,380,1048,38,46,train,train,2
22,22,22,1009328.jpg,"0.040364583333333336,0.45555555555555555,0.08072916666666667,0.31666666666666665",0,train_data_minprirodi/images/1009328.jpg,train,0,155,428,884,21,22,train,train,2
23,23,23,1009735.jpg,"0.34010416666666665,0.6763888888888889,0.56875,0.6013888888888889",1,train_data_minprirodi/images/1009735.jpg,train,107,1199,541,1407,45,59,train,train,1
24,24,24,1011494.jpg,"0.8044270833333333,0.6106481481481482,0.39010416666666664,0.7231481481481481",0,train_data_minprirodi/images/1011494.jpg,val,1170,1919,269,1050,6,6,train,train,2
25,25,25,1011727.jpg,"0.7895833333333333,0.5310185185185186,0.42083333333333334,0.875",0,train_data_minprirodi/images/1011727.jpg,val,1112,1920,101,1046,3,3,val,val,3
26,26,26,1013036.jpg,"0.5231770833333333,0.5184027777777778,0.45677083333333335,0.69375",1,train_data_minprirodi/images/1013036.jpg,train,566,1443,247,1246,38,46,train,train,2
27,27,27,1013256.jpg,"0.4315104166666667,0.5673611111111111,0.35052083333333334,0.4625",1,train_data_minprirodi/images/1013256.jpg,train,491,1165,483,1150,20,20,val,train,0
28,28,28,1013415.jpg,"0.48854166666666665,0.51484375,0.4114583333333333,0.2796875",1,train_data_minprirodi/images/1013415.jpg,train,543,1333,480,838,66,33,val,val,4
29,29,29,1013553.jpg,"0.41067708333333336,0.7166666666666667,0.19635416666666666,0.24583333333333332",1,train_data_minprirodi/images/1013553.jpg,train,600,977,855,1209,21,22,train,train,2
30,30,30,1013553.jpg,"0.4125,0.7079861111111111,0.246875,0.2826388888888889",0,train_data_minprirodi/images/1013553.jpg,train,555,1029,816,1223,21,22,train,train,2
31,31,31,1014760.jpg,"0.45416666666666666,0.5125,0.4041666666666667,0.8009259259259259",0,train_data_minprirodi/images/1014760.jpg,train,484,1260,120,986,-1,28,train,val,4
32,32,32,1014915.jpg,"0.51953125,0.8555555555555555,0.1828125,0.23194444444444445",1,train_data_minprirodi/images/1014915.jpg,train,822,1173,1065,1399,53,68,train,train,3
33,33,33,1014915.jpg,"0.24140625,0.7590277777777777,0.1953125,0.21666666666666667",1,train_data_minprirodi/images/1014915.jpg,train,276,651,937,1248,53,68,train,train,3
34,34,34,1014915.jpg,"0.7427083333333333,0.7864583333333334,0.26145833333333335,0.2604166666666667",1,train_data_minprirodi/images/1014915.jpg,train,1175,1677,945,1320,53,68,train,train,3
35,35,35,1014915.jpg,"0.89765625,0.7006944444444444,0.2046875,0.2125",0,train_data_minprirodi/images/1014915.jpg,train,1527,1920,856,1161,53,68,train,train,3
36,36,36,1014915.jpg,"0.9872395833333333,0.6027777777777777,0.0234375,0.04861111111111111",0,train_data_minprirodi/images/1014915.jpg,train,1873,1918,832,903,53,68,train,train,3
37,37,37,1015062.jpg,"0.7057291666666666,0.6518518518518519,0.14895833333333333,0.21851851851851853",1,train_data_minprirodi/images/1015062.jpg,val,1212,1498,586,822,33,42,train,train,0
38,38,38,1015062.jpg,"0.18567708333333333,0.5527777777777778,0.2171875,0.24444444444444444",1,train_data_minprirodi/images/1015062.jpg,val,147,565,465,729,33,42,train,train,0
39,39,39,1015062.jpg,"0.9622395833333334,0.5587962962962963,0.0734375,0.14907407407407408",0,train_data_minprirodi/images/1015062.jpg,val,1777,1918,523,684,33,42,train,train,0
40,40,40,1016406.jpg,"0.6028645833333334,0.6611111111111111,0.25885416666666666,0.35",1,train_data_minprirodi/images/1016406.jpg,train,909,1406,700,1203,26,30,val,train,4
41,41,41,1016657.jpg,"0.24296875,0.5392361111111111,0.3578125,0.47291666666666665",1,train_data_minprirodi/images/1016657.jpg,train,123,810,436,1117,-1,95,train,val,4
42,42,42,1018288.jpg,"0.390625,0.6425925925925926,0.446875,0.5444444444444444",1,train_data_minprirodi/images/1018288.jpg,val,321,1179,400,987,14,13,train,train,3
43,43,43,1018548.jpg,"0.9328125,0.6274305555555556,0.13333333333333333,0.23541666666666666",0,train_data_minprirodi/images/1018548.jpg,train,1663,1919,734,1073,60,87,val,val,2
44,44,44,1018604.jpg,"0.36770833333333336,0.7393518518518518,0.3645833333333333,0.462037037037037",1,train_data_minprirodi/images/1018604.jpg,train,356,1056,549,1048,6,6,train,train,2
45,45,45,1019966.jpg,"0.7809895833333333,0.25046296296296294,0.3921875,0.5009259259259259",0,train_data_minprirodi/images/1019966.jpg,val,1123,1876,0,541,2,2,val,val,3
46,46,46,1021288.jpg,"0.5705729166666667,0.4625,0.2046875,0.5777777777777777",1,train_data_minprirodi/images/1021288.jpg,val,899,1292,250,1082,7,0,train,train,0
47,47,47,1021962.jpg,"0.8059895833333334,0.19490740740740742,0.3859375,0.38981481481481484",0,train_data_minprirodi/images/1021962.jpg,train,1177,1918,0,421,2,2,val,val,3
48,48,48,1022044.jpg,"0.4041666666666667,0.7288194444444445,0.24479166666666666,0.49930555555555556",1,train_data_minprirodi/images/1022044.jpg,train,541,1011,690,1409,12,11,train,train,1
49,49,49,1022102.jpg,"0.7127604166666667,0.5791666666666667,0.5703125,0.4111111111111111",1,train_data_minprirodi/images/1022102.jpg,train,821,1916,538,1130,10,9,val,val,3
50,50,50,1022367.jpg,"0.35989583333333336,0.6194444444444445,0.23958333333333334,0.24305555555555555",1,train_data_minprirodi/images/1022367.jpg,train,461,921,717,1067,26,30,val,train,4
51,51,51,1022649.jpg,"0.11848958333333333,0.6041666666666666,0.23697916666666666,0.30833333333333335",0,train_data_minprirodi/images/1022649.jpg,train,0,455,647,1092,0,0,train,train,0
52,52,52,1023503.jpg,"0.5984375,0.6892361111111112,0.26666666666666666,0.10902777777777778",1,train_data_minprirodi/images/1023503.jpg,train,893,1404,914,1071,-1,148,train,val,4
53,53,53,1025159.jpg,"0.4359375,0.4013888888888889,0.253125,0.325",1,train_data_minprirodi/images/1025159.jpg,train,593,1080,344,812,59,84,val,val,3
54,54,54,1025351.jpg,"0.18854166666666666,0.6170138888888889,0.3770833333333333,0.29791666666666666",1,train_data_minprirodi/images/1025351.jpg,train,0,724,674,1103,0,0,train,train,0
55,55,55,1025744.jpg,"0.553125,0.47638888888888886,0.05,0.09444444444444444",1,train_data_minprirodi/images/1025744.jpg,train,1013,1110,618,753,22,24,train,train,1
56,56,56,1026615.jpg,"0.5283854166666667,0.5298611111111111,0.3515625,0.55",1,train_data_minprirodi/images/1026615.jpg,train,677,1352,367,1159,1,1,train,train,2
57,57,57,1026615.jpg,"0.8135416666666667,0.5114583333333333,0.371875,0.5951388888888889",0,train_data_minprirodi/images/1026615.jpg,train,1205,1919,308,1165,1,1,train,train,2
58,58,58,1027174.jpg,"0.20078125,0.7100694444444444,0.12135416666666667,0.29791666666666666",0,train_data_minprirodi/images/1027174.jpg,train,269,502,808,1237,49,65,val,val,4
59,59,59,1028574.jpg,"0.496875,0.725462962962963,0.490625,0.5453703703703704",1,train_data_minprirodi/images/1028574.jpg,train,483,1425,489,1078,17,16,train,train,0
60,60,60,1028982.jpg,"0.5596354166666667,0.6072916666666667,0.3421875,0.32013888888888886",1,train_data_minprirodi/images/1028982.jpg,train,746,1403,644,1105,0,0,train,train,0
61,61,61,1028987.jpg,"0.37604166666666666,0.6194444444444445,0.4635416666666667,0.4111111111111111",1,train_data_minprirodi/images/1028987.jpg,train,277,1167,447,891,-1,115,train,val,4
62,62,62,1029278.jpg,"0.28463541666666664,0.4354166666666667,0.46822916666666664,0.6041666666666666",1,train_data_minprirodi/images/1029278.jpg,train,96,995,192,1062,1,1,train,train,2
63,63,63,1029318.jpg,"0.15572916666666667,0.5916666666666667,0.31145833333333334,0.47638888888888886",0,train_data_minprirodi/images/1029318.jpg,train,0,598,509,1195,20,20,val,train,0
64,64,64,1030731.jpg,"0.13567708333333334,0.684375,0.2713541666666667,0.58125",0,train_data_minprirodi/images/1030731.jpg,train,0,521,566,1404,45,59,train,train,1
65,65,65,1030948.jpg,"0.4901041666666667,0.5086805555555556,0.18333333333333332,0.5298611111111111",1,train_data_minprirodi/images/1030948.jpg,train,765,1117,351,1114,0,0,train,train,0
66,66,66,1031660.jpg,"0.359375,0.6787037037037037,0.44479166666666664,0.5277777777777778",1,train_data_minprirodi/images/1031660.jpg,train,263,1117,448,1018,17,16,train,train,0
67,67,67,1033811.jpg,"0.32760416666666664,0.8107638888888888,0.22916666666666666,0.24513888888888888",1,train_data_minprirodi/images/1033811.jpg,train,409,848,991,1343,53,68,train,train,3
68,68,68,1033811.jpg,"0.725,0.7857638888888889,0.265625,0.2673611111111111",1,train_data_minprirodi/images/1033811.jpg,train,1137,1647,939,1324,53,68,train,train,3
69,69,69,1033811.jpg,"0.21770833333333334,0.7659722222222223,0.17708333333333334,0.2111111111111111",0,train_data_minprirodi/images/1033811.jpg,train,247,588,951,1255,53,68,train,train,3
70,70,70,1033811.jpg,"0.9721354166666667,0.634375,0.05364583333333333,0.12986111111111112",0,train_data_minprirodi/images/1033811.jpg,train,1815,1918,820,1007,53,68,train,train,3
71,71,71,1033811.jpg,"0.7940104166666667,0.6729166666666667,0.24322916666666666,0.1625",0,train_data_minprirodi/images/1033811.jpg,train,1291,1758,852,1086,53,68,train,train,3
72,72,72,1034386.jpg,"0.64921875,0.5010416666666667,0.2786458333333333,0.6104166666666667",0,train_data_minprirodi/images/1034386.jpg,train,979,1513,282,1161,38,46,train,train,2
73,73,73,1036501.jpg,"0.5145833333333333,0.553125,0.28229166666666666,0.5354166666666667",1,train_data_minprirodi/images/1036501.jpg,train,717,1258,411,1182,50,1,val,train,2
74,74,74,1036501.jpg,"0.6940104166666666,0.5048611111111111,0.29322916666666665,0.5444444444444444",0,train_data_minprirodi/images/1036501.jpg,train,1051,1614,335,1119,50,1,val,train,2
75,75,75,1036570.jpg,"0.5263020833333333,0.45694444444444443,0.6286458333333333,0.6375",1,train_data_minprirodi/images/1036570.jpg,train,406,1614,199,1117,5,5,train,train,2
76,76,76,1038096.jpg,"0.09322916666666667,0.634375,0.18645833333333334,0.2520833333333333",0,train_data_minprirodi/images/1038096.jpg,train,0,358,732,1095,7,0,train,train,0
77,77,77,1038895.jpg,"0.42265625,0.6990740740740741,0.30572916666666666,0.4185185185185185",1,train_data_minprirodi/images/1038895.jpg,train,518,1105,529,981,17,16,train,train,0
78,78,78,1039248.jpg,"0.9182291666666667,0.5046296296296297,0.16145833333333334,0.5962962962962963",0,train_data_minprirodi/images/1039248.jpg,val,1608,1918,223,867,13,12,train,train,4
79,79,79,1039348.jpg,"0.06380208333333333,0.6114583333333333,0.12760416666666666,0.3090277777777778",0,train_data_minprirodi/images/1039348.jpg,train,0,244,658,1103,0,0,train,train,0
80,80,80,1040002.jpg,"0.7114583333333333,0.7597222222222222,0.48125,0.4388888888888889",1,train_data_minprirodi/images/1040002.jpg,train,904,1828,778,1410,67,107,val,val,0
81,81,81,1040604.jpg,"0.57734375,0.5365740740740741,0.20052083333333334,0.175",1,train_data_minprirodi/images/1040604.jpg,train,916,1301,485,674,11,10,train,train,2
82,82,82,1041018.jpg,"0.60625,0.5940972222222223,0.553125,0.6201388888888889",1,train_data_minprirodi/images/1041018.jpg,train,632,1695,409,1302,45,59,train,train,1
83,83,83,1041305.jpg,"0.7119791666666667,0.5809027777777778,0.5708333333333333,0.41597222222222224",1,train_data_minprirodi/images/1041305.jpg,train,819,1915,537,1136,10,9,val,val,3
84,84,84,1041689.jpg,"0.9169270833333333,0.6951388888888889,0.16510416666666666,0.10555555555555556",0,train_data_minprirodi/images/1041689.jpg,train,1602,1918,924,1077,-1,147,train,val,4
85,85,85,1041722.jpg,"0.5239583333333333,0.5795138888888889,0.29791666666666666,0.37569444444444444",1,train_data_minprirodi/images/1041722.jpg,train,720,1292,564,1105,-1,0,train,train,4
86,86,86,1041748.jpg,"0.8994791666666667,0.5673611111111111,0.20104166666666667,0.4",0,train_data_minprirodi/images/1041748.jpg,train,1534,1920,529,1105,70,91,val,val,2
87,87,87,1042697.jpg,"0.6822916666666666,0.6197916666666666,0.36770833333333336,0.28541666666666665",1,train_data_minprirodi/images/1042697.jpg,train,957,1663,687,1098,0,0,train,train,0
88,88,88,1043027.jpg,"0.675,0.5879629629629629,0.2947916666666667,0.34444444444444444",1,train_data_minprirodi/images/1043027.jpg,train,1013,1579,448,820,19,19,train,train,3
89,89,89,1044269.jpg,"0.30182291666666666,0.612037037037037,0.4588541666666667,0.7111111111111111",1,train_data_minprirodi/images/1044269.jpg,train,139,1020,277,1045,46,60,train,train,2
90,90,90,1045164.jpg,"0.3536458333333333,0.4638888888888889,0.16458333333333333,0.49166666666666664",1,train_data_minprirodi/images/1045164.jpg,train,521,837,314,1022,7,0,train,train,0
91,91,91,1045591.jpg,"0.36666666666666664,0.43854166666666666,0.5947916666666667,0.6131944444444445",1,train_data_minprirodi/images/1045591.jpg,train,132,1275,189,1073,5,5,train,train,2
92,92,92,1046163.jpg,"0.8067708333333333,0.6572916666666667,0.26145833333333335,0.24097222222222223",1,train_data_minprirodi/images/1046163.jpg,val,1298,1800,773,1120,27,0,val,train,4
93,93,93,1046398.jpg,"0.7869791666666667,0.5717592592592593,0.14583333333333334,0.18796296296296297",1,train_data_minprirodi/images/1046398.jpg,train,1371,1651,516,719,11,10,train,train,2
94,94,94,1046424.jpg,"0.63125,0.6315972222222223,0.3541666666666667,0.53125",1,train_data_minprirodi/images/1046424.jpg,train,871,1552,527,1292,12,11,train,train,1
95,95,95,1047828.jpg,"0.36875,0.6184027777777777,0.48333333333333334,0.2951388888888889",1,train_data_minprirodi/images/1047828.jpg,train,244,1172,678,1103,7,0,train,train,0
96,96,96,1048424.jpg,"0.7979166666666667,0.538425925925926,0.12291666666666666,0.3527777777777778",0,train_data_minprirodi/images/1048424.jpg,train,1414,1650,391,772,47,62,val,val,4
97,97,97,1048699.jpg,"0.3294270833333333,0.600462962962963,0.1015625,0.16018518518518518",0,train_data_minprirodi/images/1048699.jpg,train,535,730,562,735,51,66,val,val,1
98,98,98,1049055.jpg,"0.8708333333333333,0.5662037037037037,0.21145833333333333,0.18796296296296297",1,train_data_minprirodi/images/1049055.jpg,train,1469,1875,509,712,11,10,train,train,2
99,99,99,1049246.jpg,"0.31223958333333335,0.6138888888888889,0.4088541666666667,0.30277777777777776",0,train_data_minprirodi/images/1049246.jpg,val,207,992,666,1102,7,0,train,train,0
100,100,100,1051092.jpg,"0.44869791666666664,0.6856481481481481,0.24635416666666668,0.2175925925925926",1,train_data_minprirodi/images/1051092.jpg,train,625,1098,623,858,33,42,train,train,0
101,101,101,1051092.jpg,"0.5513020833333333,0.8425925925925926,0.13697916666666668,0.25555555555555554",0,train_data_minprirodi/images/1051092.jpg,train,927,1190,772,1048,33,42,train,train,0
102,102,102,1051730.jpg,"0.8546875,0.6,0.290625,0.6916666666666667",0,train_data_minprirodi/images/1051730.jpg,val,1362,1920,366,1362,-1,49,train,val,4
103,103,103,1051789.jpg,"0.94375,0.6717592592592593,0.1125,0.5175925925925926",0,train_data_minprirodi/images/1051789.jpg,val,1704,1920,446,1005,-1,146,train,val,4
104,104,104,1052083.jpg,"0.5140625,0.6753472222222222,0.25104166666666666,0.3645833333333333",1,train_data_minprirodi/images/1052083.jpg,train,746,1228,710,1235,21,22,train,train,2
105,105,105,1052649.jpg,"0.8963541666666667,0.71875,0.20520833333333333,0.25833333333333336",0,train_data_minprirodi/images/1052649.jpg,train,1524,1918,849,1221,58,79,val,val,4
106,106,106,1053127.jpg,"0.5955729166666667,0.3902777777777778,0.22239583333333332,0.6398148148148148",1,train_data_minprirodi/images/1053127.jpg,train,930,1357,75,767,46,60,train,train,2
107,107,107,1054655.jpg,"0.07473958333333333,0.44548611111111114,0.14947916666666666,0.5368055555555555",0,train_data_minprirodi/images/1054655.jpg,train,0,287,255,1028,5,5,train,train,2
108,108,108,1056028.jpg,"0.4979166666666667,0.6423611111111112,0.18125,0.1875",1,train_data_minprirodi/images/1056028.jpg,val,782,1130,790,1060,9,8,val,train,4
109,109,109,1056028.jpg,"0.31276041666666665,0.5819444444444445,0.19739583333333333,0.22083333333333333",1,train_data_minprirodi/images/1056028.jpg,val,411,790,679,997,9,8,val,train,4
110,110,110,1056028.jpg,"0.19869791666666667,0.5857638888888889,0.09010416666666667,0.16319444444444445",0,train_data_minprirodi/images/1056028.jpg,val,295,468,726,961,9,8,val,train,4
111,111,111,1056028.jpg,"0.7557291666666667,0.6170138888888889,0.22604166666666667,0.24930555555555556",0,train_data_minprirodi/images/1056028.jpg,val,1234,1668,709,1068,9,8,val,train,4
112,112,112,1056028.jpg,"0.9096354166666667,0.6954861111111111,0.17447916666666666,0.4215277777777778",0,train_data_minprirodi/images/1056028.jpg,val,1579,1914,698,1305,9,8,val,train,4
113,113,113,1056456.jpg,"0.68125,0.609375,0.6322916666666667,0.7340277777777777",1,train_data_minprirodi/images/1056456.jpg,train,701,1915,349,1406,45,59,train,train,1
114,114,114,1057075.jpg,"0.8348958333333333,0.49444444444444446,0.203125,0.28888888888888886",1,train_data_minprirodi/images/1057075.jpg,train,1408,1798,504,919,23,26,train,train,3
115,115,115,1057075.jpg,"0.5651041666666666,0.4739583333333333,0.14479166666666668,0.24791666666666667",1,train_data_minprirodi/images/1057075.jpg,train,946,1224,503,861,23,26,train,train,3
116,116,116,1057075.jpg,"0.30963541666666666,0.41041666666666665,0.0953125,0.09722222222222222",1,train_data_minprirodi/images/1057075.jpg,train,503,686,521,661,23,26,train,train,3
117,117,117,1057075.jpg,"0.6890625,0.46041666666666664,0.08020833333333334,0.08888888888888889",1,train_data_minprirodi/images/1057075.jpg,train,1246,1400,599,727,23,26,train,train,3
118,118,118,1057075.jpg,"0.309375,0.4083333333333333,0.06354166666666666,0.08333333333333333",0,train_data_minprirodi/images/1057075.jpg,train,533,655,528,648,23,26,train,train,3
119,119,119,1058638.jpg,"0.496875,0.5995370370370371,0.25625,0.46574074074074073",1,train_data_minprirodi/images/1058638.jpg,train,708,1200,396,899,31,38,val,val,2
120,120,120,1059583.jpg,"0.23984375,0.4107638888888889,0.4796875,0.5909722222222222",0,train_data_minprirodi/images/1059583.jpg,train,0,921,165,1017,71,25,val,val,3
121,121,121,1060466.jpg,"0.49583333333333335,0.4670138888888889,0.20833333333333334,0.22291666666666668",1,train_data_minprirodi/images/1060466.jpg,train,752,1152,512,833,23,26,train,train,3
122,122,122,1061078.jpg,"0.6182291666666667,0.5756944444444444,0.5197916666666667,0.6555555555555556",1,train_data_minprirodi/images/1061078.jpg,train,688,1686,356,1301,45,59,train,train,1
123,123,123,1062258.jpg,"0.34427083333333336,0.5704861111111111,0.384375,0.39791666666666664",1,train_data_minprirodi/images/1062258.jpg,val,292,1030,535,1108,0,0,train,train,0
124,124,124,1063274.jpg,"0.46848958333333335,0.4787037037037037,0.4234375,0.5833333333333334",1,train_data_minprirodi/images/1063274.jpg,train,493,1306,201,832,46,60,train,train,2
125,125,125,1063947.jpg,"0.16588541666666667,0.6232638888888888,0.33177083333333335,0.2604166666666667",0,train_data_minprirodi/images/1063947.jpg,val,0,637,709,1085,-1,14,train,train,4
126,126,126,1065538.jpg,"0.5640625,0.47881944444444446,0.178125,0.5659722222222222",1,train_data_minprirodi/images/1065538.jpg,train,912,1254,282,1097,0,0,train,train,0
127,127,127,1065792.jpg,"0.3541666666666667,0.43506944444444445,0.5729166666666666,0.6368055555555555",1,train_data_minprirodi/images/1065792.jpg,train,130,1230,168,1085,5,5,train,train,2
128,128,128,1066126.jpg,"0.18333333333333332,0.4736111111111111,0.15,0.12083333333333333",0,train_data_minprirodi/images/1066126.jpg,train,207,495,595,769,22,24,train,train,1
129,129,129,1066126.jpg,"0.70625,0.4753472222222222,0.07291666666666667,0.09236111111111112",1,train_data_minprirodi/images/1066126.jpg,train,1286,1426,618,751,22,24,train,train,1
130,130,130,1066353.jpg,"0.6640625,0.7648148148148148,0.35104166666666664,0.4111111111111111",1,train_data_minprirodi/images/1066353.jpg,train,938,1612,604,1048,6,6,train,train,2
131,131,131,1066538.jpg,"0.6817708333333333,0.55,0.18958333333333333,0.17777777777777778",1,train_data_minprirodi/images/1066538.jpg,train,1127,1491,498,690,11,10,train,train,2
132,132,132,1066566.jpg,"0.6026041666666667,0.48240813135261923,0.34270833333333334,0.23924941360437843",1,train_data_minprirodi/images/1066566.jpg,train,828,1486,463,770,-1,16,train,train,4
133,133,133,1066831.jpg,"0.53203125,0.4861111111111111,0.16302083333333334,0.5805555555555556",1,train_data_minprirodi/images/1066831.jpg,train,864,1178,281,1118,0,0,train,train,0
134,134,134,1067304.jpg,"0.30963541666666666,0.7921296296296296,0.21927083333333333,0.33796296296296297",0,train_data_minprirodi/images/1067304.jpg,train,384,805,673,1038,6,6,train,train,2
135,135,135,1067781.jpg,"0.8135416666666667,0.5017361111111112,0.19895833333333332,0.27708333333333335",1,train_data_minprirodi/images/1067781.jpg,train,1371,1753,523,922,-1,126,train,val,4
136,136,136,1068061.jpg,"0.4479166666666667,0.3375,0.2760416666666667,0.325",1,train_data_minprirodi/images/1068061.jpg,val,595,1125,252,720,-1,85,train,val,4
137,137,137,1068845.jpg,"0.22317708333333333,0.6243055555555556,0.44635416666666666,0.2763888888888889",0,train_data_minprirodi/images/1068845.jpg,val,0,857,700,1098,15,14,train,train,0
138,138,138,1068868.jpg,"0.12421875,0.6277777777777778,0.2484375,0.3958333333333333",1,train_data_minprirodi/images/1068868.jpg,train,0,477,619,1189,16,15,train,train,1
139,139,139,1068868.jpg,"0.50703125,0.5215277777777778,0.3338541666666667,0.46805555555555556",1,train_data_minprirodi/images/1068868.jpg,train,653,1294,414,1088,16,15,train,train,1
140,140,140,1068868.jpg,"0.8984375,0.490625,0.20208333333333334,0.29375",0,train_data_minprirodi/images/1068868.jpg,train,1531,1919,495,917,16,15,train,train,1
141,141,141,1068868.jpg,"0.2552083333333333,0.5833333333333334,0.17916666666666667,0.26944444444444443",0,train_data_minprirodi/images/1068868.jpg,train,317,662,646,1034,16,15,train,train,1
142,142,142,1068868.jpg,"0.9736979166666667,0.5871527777777777,0.0515625,0.28402777777777777",0,train_data_minprirodi/images/1068868.jpg,train,1820,1919,641,1050,16,15,train,train,1
143,143,143,1069117.jpg,"0.5223958333333333,0.5131944444444444,0.46041666666666664,0.6986111111111111",1,train_data_minprirodi/images/1069117.jpg,train,560,1445,235,1242,38,46,train,train,2
144,144,144,1069368.jpg,"0.25286458333333334,0.4361111111111111,0.4671875,0.6",1,train_data_minprirodi/images/1069368.jpg,train,37,934,196,1060,1,1,train,train,2
145,145,145,1070182.jpg,"0.24088541666666666,0.7607638888888889,0.19427083333333334,0.21597222222222223",1,train_data_minprirodi/images/1070182.jpg,train,276,649,940,1251,53,68,train,train,3
146,146,146,1070182.jpg,"0.5356770833333333,0.8527777777777777,0.1671875,0.2375",1,train_data_minprirodi/images/1070182.jpg,train,867,1189,1057,1399,53,68,train,train,3
147,147,147,1070182.jpg,"0.7731770833333333,0.784375,0.2453125,0.2520833333333333",1,train_data_minprirodi/images/1070182.jpg,train,1249,1720,948,1311,53,68,train,train,3
148,148,148,1070182.jpg,"0.91796875,0.703125,0.1640625,0.21041666666666667",0,train_data_minprirodi/images/1070182.jpg,train,1605,1920,861,1164,53,68,train,train,3
149,149,149,1070294.jpg,"0.6239583333333333,0.5586805555555555,0.3729166666666667,0.39791666666666664",1,train_data_minprirodi/images/1070294.jpg,train,839,1555,517,1091,7,0,train,train,0
150,150,150,1071113.jpg,"0.4140625,0.5486111111111112,0.23125,0.5305555555555556",1,train_data_minprirodi/images/1071113.jpg,train,573,1017,306,879,-1,92,train,val,4
